kode,nama,npwp,alamat,kontak_nama,kontak_hp,email,termin_hari_default,aktif
SUP-001,CV. LAUTAN SAKTI,NONE,NONE,NONE,NONE,NONE,0,True
SUP-002,CV. PUTRA TUNGGAL LESTARI,NONE,NONE,NONE,NONE,NONE,0,True
SUP-003,PAISAL,NONE,NONE,NONE,NONE,NONE,0,True
SUP-004,PT. BEHN MEYER,NONE,NONE,NONE,NONE,NONE,0,True
SUP-005,PT. BISINDO KENCANA,NONE,NONE,NONE,NONE,NONE,0,True
SUP-006,PT. BRENNTAG,NONE,NONE,NONE,NONE,NONE,0,True
SUP-007,PT. CAHAYA INDRA CHEMINDO,NONE,NONE,NONE,NONE,NONE,0,True
SUP-008,PT. CHEMIFIN JAYA UTAMA,NONE,NONE,NONE,NONE,NONE,0,True
SUP-009,PT. ESA JAYA INDO,NONE,NONE,NONE,NONE,NONE,0,True
SUP-010,PT. GALIC BINA MADA,NONE,NONE,NONE,NONE,NONE,0,True
SUP-011,PT. GLORY MITRA ABADI,NONE,NONE,NONE,NONE,NONE,0,True
SUP-012,PT. GOCHEM GLOBALINDO,NONE,NONE,NONE,NONE,NONE,0,True
SUP-013,PT. HALIM SAKTI PRATAMA,NONE,NONE,NONE,NONE,NONE,0,True
SUP-014,PT. HANA RAFA SUKSES BERSAMA,NONE,NONE,NONE,NONE,NONE,0,True
SUP-015,PT. HEXA JAYA INDO,NONE,NONE,NONE,NONE,NONE,0,True
SUP-016,PT. INDOKEMIKA JAYA PERKASA,NONE,NONE,NONE,NONE,NONE,0,True
SUP-017,PT. INDOMAKMUR SARANA PERKASA,NONE,NONE,NONE,NONE,NONE,0,True
SUP-018,PT. INDOMAS MULTI KREASI,NONE,NONE,NONE,NONE,NONE,0,True
SUP-019,PT. JEBSEN & JESSEN,NONE,NONE,NONE,NONE,NONE,0,True
SUP-020,PT. KING GLOBAL CHEMICALS,NONE,NONE,NONE,NONE,NONE,0,True
SUP-021,PT. MEGA KIMIA,NONE,NONE,NONE,NONE,NONE,0,True
SUP-022,PT. SANCHEM PRASANDHA,NONE,NONE,NONE,NONE,NONE,0,True
SUP-023,PT. SENTRA KEMIKA PERSADA,NONE,NONE,NONE,NONE,NONE,0,True
SUP-024,PT. SUKABUMI TRADING COY,NONE,NONE,NONE,NONE,NONE,0,True
SUP-025,PT. TAWAZON CHEMICAL INDONESIA,NONE,NONE,NONE,NONE,NONE,0,True
SUP-026,PT. TITIAN ABADI LESTARI,NONE,NONE,NONE,NONE,NONE,0,True
SUP-027,PT. TUNAS SUMBER,NONE,NONE,NONE,NONE,NONE,0,True
SUP-028,PT. UNITED CHEMICALS INTER ANEKA,NONE,NONE,NONE,NONE,NONE,0,True
